User Id,Age,Gender,State,Average Income
1,36,male,Ciudad de México,"$20,000.00"
2,35,male,Ciudad de México,"$300,000.00"
3,29,female,Ciudad de México,"$50,000.00"
4,45,male,Ciudad de México,"$50,000.00"
5,32,male,Guanajuato,"$20,000.00"
6,29,male,Michoacán de Ocampo,"$100,000.00"
7,34,male,Ciudad de México,"$300,000.00"
8,29,male,Tlaxcala,"$50,000.00"
9,33,male,Ciudad de México,"$100,000.00"
10,31,male,México,"$100,000.00"
11,34,male,Ciudad de México,"$7,000.00"
12,38,male,Jalisco,"$20,000.00"
13,46,male,Nuevo León,"$50,000.00"
14,40,male,Guanajuato,"$100,000.00"
15,33,male,Michoacán de Ocampo,"$100,000.00"
16,34,male,Ciudad de México,"$7,000.00"
17,52,male,Ciudad de México,"$7,000.00"
18,29,male,México,"$50,000.00"
19,31,female,Jalisco,"$50,000.00"
20,32,male,Ciudad de México,"$300,001.00"
21,31,male,Ciudad de México,"$20,000.00"
22,34,male,México,"$50,000.00"
23,33,male,Oaxaca,"$100,000.00"
24,47,male,Jalisco,"$50,000.00"
25,27,male,México,"$100,000.00"
26,37,male,México,"$50,000.00"
27,34,male,Querétaro,"$100,000.00"
28,39,male,Quintana Roo,"$7,000.00"
29,30,male,Hidalgo,"$20,000.00"
30,43,male,Campeche,"$100,000.00"
31,36,male,México,"$100,000.00"
32,35,female,Ciudad de México,"$7,000.00"
33,37,male,Ciudad de México,"$20,000.00"
34,37,male,Hidalgo,"$20,000.00"
35,37,male,Jalisco,"$100,000.00"
36,40,male,Guanajuato,"$20,000.00"
37,55,female,Guanajuato,"$20,000.00"
38,30,male,Guanajuato,"$20,000.00"
39,39,female,Ciudad de México,"$100,000.00"
40,34,male,Veracruz de Ignacio de la Llave,"$50,000.00"
41,36,male,Quintana Roo,"$20,000.00"
42,33,male,Tabasco,"$7,000.00"
43,33,male,Ciudad de México,"$50,000.00"
44,32,male,México,"$100,000.00"
45,38,male,Jalisco,"$100,000.00"
46,30,male,Ciudad de México,"$50,000.00"
47,31,male,Ciudad de México,"$50,000.00"
48,54,male,Jalisco,"$50,000.00"
49,32,male,Nuevo León,"$20,000.00"
50,27,male,Ciudad de México,"$20,000.00"
51,48,male,Ciudad de México,"$100,000.00"
52,31,male,Ciudad de México,"$50,000.00"
53,30,female,México,"$7,000.00"
54,33,male,Ciudad de México,"$20,000.00"
55,26,male,México,"$7,000.00"
56,31,male,Ciudad de México,"$50,000.00"
57,45,male,Michoacán de Ocampo,"$20,000.00"
58,37,male,Ciudad de México,"$100,000.00"
59,30,male,Jalisco,"$50,000.00"
60,34,male,Nuevo León,"$50,000.00"
61,38,male,Jalisco,"$50,000.00"
62,55,male,Ciudad de México,"$50,000.00"
63,39,male,Ciudad de México,"$20,000.00"
64,30,male,Jalisco,"$100,000.00"
65,65,male,Ciudad de México,"$100,000.00"
66,41,male,México,"$50,000.00"
67,33,male,Veracruz de Ignacio de la Llave,"$70,000.00"
68,50,male,Ciudad de México,"$50,000.00"
69,29,male,Ciudad de México,"$50,000.00"
70,41,male,México,"$50,000.00"
71,31,male,Jalisco,"$200,000.00"
72,41,male,Nayarit,"$20,000.00"
73,26,male,Guanajuato,"$7,000.00"
74,38,male,Jalisco,"$20,000.00"
75,43,male,Jalisco,"$50,000.00"
76,30,male,Ciudad de México,"$114,000.00"
77,41,male,Nuevo León,"$100,000.00"
78,40,male,Puebla,"$7,000.00"
79,35,male,Morelos,"$100,000.00"
80,36,male,Nuevo León,"$50,000.00"
81,34,male,Ciudad de México,"$20,000.00"
82,35,male,Ciudad de México,"$20,000.00"
83,31,male,Ciudad de México,"$20,000.00"
84,37,male,Ciudad de México,"$50,000.00"
85,30,female,Ciudad de México,"$50,000.00"
86,38,male,Chiapas,"$20,000.00"
87,31,male,México,"$50,000.00"
88,29,male,Ciudad de México,"$50,000.00"
89,56,male,Puebla,"$50,000.00"
90,37,female,Jalisco,"$50,000.00"
91,46,male,Jalisco,"$50,000.00"
92,41,male,México,"$7,000.00"
93,35,male,Nuevo León,"$50,000.00"
94,44,male,Ciudad de México,"$7,000.00"
95,51,male,México,"$50,000.00"
96,42,male,Ciudad de México,"$50,000.00"
97,53,male,Yucatán,"$100,000.00"
98,46,male,Querétaro,"$50,000.00"
99,32,male,México,"$50,000.00"
100,33,male,Ciudad de México,"$50,000.00"
101,29,male,Querétaro,"$50,000.00"
102,33,male,Ciudad de México,"$50,000.00"
103,68,male,Guanajuato,"$100,000.00"
104,31,male,Ciudad de México,"$50,000.00"
105,34,male,México,"$20,000.00"
106,40,female,Jalisco,"$50,000.00"
107,35,male,Nuevo León,"$100,000.00"
108,36,male,Jalisco,"$20,000.00"
109,49,male,Coahuila de Zaragoza,"$100,000.00"
110,37,male,México,"$20,000.00"
111,34,female,Ciudad de México,"$50,000.00"
112,42,male,Nuevo León,"$7,000.00"
113,53,male,Ciudad de México,"$100,000.00"
114,57,male,Puebla,"$100,000.00"
115,42,male,Jalisco,"$20,000.00"
116,35,male,México,"$50,000.00"
117,40,male,Aguascalientes,"$50,000.00"
118,34,male,Nuevo León,"$50,000.00"
119,53,male,Coahuila de Zaragoza,"$100,000.00"
120,35,male,México,"$20,000.00"
121,27,male,Ciudad de México,"$7,000.00"
122,36,male,Hidalgo,"$20,000.00"
123,33,male,Ciudad de México,"$50,000.00"
124,34,male,México,"$50,000.00"
125,54,male,Ciudad de México,"$20,000.00"
126,43,male,Hidalgo,"$50,000.00"
127,30,male,Ciudad de México,"$50,000.00"
128,33,male,Jalisco,"$50,000.00"
129,43,female,México,"$7,000.00"
130,38,male,México,"$20,000.00"
131,33,male,Ciudad de México,"$300,000.00"
132,29,male,Veracruz de Ignacio de la Llave,"$50,000.00"
133,30,male,México,"$50,000.00"
134,46,male,San Luis Potosí,"$100,000.00"
135,37,male,Ciudad de México,"$7,000.00"
136,31,male,Guanajuato,"$50,000.00"
137,36,male,Querétaro,"$50,000.00"
138,43,male,Querétaro,"$300,000.00"
139,35,male,Ciudad de México,"$100,000.00"
140,46,male,Querétaro,"$100,000.00"
141,33,male,Ciudad de México,"$20,000.00"
142,36,male,Ciudad de México,"$50,000.00"
143,28,male,Chihuahua,"$50,000.00"
144,42,male,México,"$100,000.00"
145,45,male,Ciudad de México,"$250,000.00"
146,37,male,Jalisco,"$50,000.00"
147,46,female,Ciudad de México,"$20,000.00"
148,35,male,Guanajuato,"$7,000.00"
149,32,male,Veracruz de Ignacio de la Llave,"$100,000.00"
150,42,male,México,"$100,000.00"
151,25,male,Querétaro,"$7,000.00"
152,35,male,México,"$100,000.00"
153,46,male,Chihuahua,"$50,000.00"
154,44,male,Tlaxcala,"$50,000.00"
155,29,male,México,"$20,000.00"
156,51,male,Baja California,"$100,000.00"
157,34,male,Ciudad de México,"$20,000.00"
158,40,male,Coahuila de Zaragoza,"$50,000.00"
159,35,female,Ciudad de México,"$20,000.00"
160,32,male,Nuevo León,"$34,000.00"
161,40,male,Puebla,"$50,000.00"
162,46,male,Puebla,"$20,000.00"
163,41,male,Ciudad de México,"$300,000.00"
164,38,male,Ciudad de México,"$50,000.00"
165,34,male,Yucatán,"$100,000.00"
166,37,male,México,"$300,000.00"
167,33,male,México,"$7,000.00"
168,34,male,Ciudad de México,"$7,000.00"
169,46,male,Ciudad de México,"$100,000.00"
170,30,male,Ciudad de México,"$50,000.00"
171,40,male,Guerrero,"$20,000.00"
172,35,male,Ciudad de México,"$20,000.00"
173,39,male,México,"$50,000.00"
174,39,male,Puebla,"$20,000.00"
175,47,male,Veracruz de Ignacio de la Llave,"$50,000.00"
176,32,male,Ciudad de México,"$7,000.00"
177,34,male,México,"$50,000.00"
178,26,female,Guanajuato,"$20,000.00"
179,27,male,Chihuahua,"$7,000.00"
180,37,male,Quintana Roo,"$20,000.00"
181,42,male,México,"$50,000.00"
182,44,male,Ciudad de México,"$300,000.00"
183,44,male,Michoacán de Ocampo,"$100,000.00"
184,31,male,Nuevo León,"$50,000.00"
185,36,male,Nayarit,"$20,000.00"
186,45,male,México,"$50,000.00"
187,46,male,Tabasco,"$50,000.00"
188,29,male,Michoacán de Ocampo,"$20,000.00"
189,30,male,Ciudad de México,"$50,000.00"
190,29,male,México,"$300,000.00"
191,42,male,Morelos,"$50,000.00"
192,27,male,Guanajuato,"$50,000.00"
193,44,male,México,"$20,000.00"
194,36,male,San Luis Potosí,"$20,000.00"
195,28,male,México,"$20,000.00"
196,45,male,México,"$20,000.00"
197,37,male,Sonora,"$20,000.00"
198,24,female,Quintana Roo,"$7,000.00"
199,41,male,Ciudad de México,"$7,000.00"
200,54,male,Ciudad de México,"$300,000.00"
201,32,male,México,"$50,000.00"
202,38,male,Jalisco,"$300,000.00"
203,24,male,Durango,"$20,000.00"
204,39,female,Colima,"$20,000.00"
205,37,male,Sinaloa,"$20,000.00"
206,36,male,México,"$50,000.00"
207,27,male,Ciudad de México,"$20,000.00"
208,31,male,Ciudad de México,"$7,000.00"
209,32,female,Ciudad de México,"$100,000.00"
210,44,male,estado de mexico,"$300,000.00"
211,36,female,Jalisco,"$7,000.00"
212,37,male,México,"$20,000.00"
213,33,male,Yucatán,"$20,000.00"
214,33,male,Ciudad de México,"$20,000.00"
215,34,male,Puebla,"$50,000.00"
